circuit_name,mirror_fidelity,fidelity_estimate,total_runtime,simulation_time,preprocessing_time,shot_time,expectation_value_time,other_time,final_state_memory
TFIM_honeycomb_PBC_Jz=1.0_hx=1.5_dt=0.1_n_trotter_steps=6_Lx=4_Ly=7,0.7799672303667624,0.6328875494405077,50.20851755142212,35.164527893066406,0.0,15.043989658355713,0.7298908233642578,0.0,0.2935791015625
TFIM_honeycomb_PBC_Jz=1.0_hx=1.5_dt=0.3_n_trotter_steps=4_Lx=4_Ly=7,0.6272641290957357,0.42447314454377316,204.47375321388245,188.25128149986267,0.0,16.222471714019775,0.8250892162322998,0.0,82.6666259765625
TFIM_honeycomb_PBC_Jz=1.0_hx=3.0_dt=0.3_n_trotter_steps=18_Lx=4_Ly=7,,,,,,,,,
TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=14_Lx=4_Ly=7,0.9986375209382586,0.9175685448796096,69.83824419975281,54.323200941085815,0.0,15.515043258666992,0.6770966053009033,0.0,0.001708984375
TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=16_Lx=4_Ly=7,0.9986527901320764,0.90662116063412,75.93911838531494,60.34982395172119,0.0,15.58929443359375,0.6626400947570801,0.0,0.001708984375
TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=18_Lx=4_Ly=7,0.9987336149326921,0.8958119111797375,81.53053522109985,66.09618997573853,0.0,15.434345245361328,0.6727073192596436,0.0,0.001708984375
TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=20_Lx=4_Ly=7,0.9988304056421426,0.8851145446067359,86.56955218315125,71.23124623298645,0.0,15.338305950164795,0.6643800735473633,0.0,0.001708984375
TFIM_honeycomb_obc_Jz=1.0_hx=6.0_dt=0.3_n_trotter_steps=14_Lx=4_Ly=7,,,,,,,,,
TFIM_square_PBC_Jz=1.0_hx=2.0_dt=0.5_n_trotter_steps=4_Lx=8_Ly=7,,,,,,,,,
TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=12_Lx=8_Ly=7,,,,,,,,,
TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=16_Lx=8_Ly=7,,,,,,,,,
TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=2_Lx=8_Ly=7,,,,,,,,,
TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=20_Lx=8_Ly=7,,,,,,,,,
TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=4_Lx=8_Ly=7,,,,,,,,,
TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.1_n_trotter_steps=8_Lx=8_Ly=7,0.9765551101010126,0.09008209067779374,41.41326689720154,26.251720666885376,0.0,15.161546230316162,0.7284302711486816,0.0,0.001708984375
TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=20_Lx=8_Ly=7,,,,,,,,,
XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=14_Lx=4_Ly=7,0.38729954265696204,0.028148949734666993,92.29936027526855,76.25469660758972,0.0,16.044663667678833,0.7337713241577148,0.0,0.061431884765625
XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=16_Lx=4_Ly=7,0.37062739120534044,0.017111766265388396,102.60682511329651,86.76170015335083,0.0,15.845124959945679,0.7276186943054199,0.0,0.064208984375
XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=20_Lx=4_Ly=7,0.24805084716789105,0.3176798654939946,680.6564764976501,665.2333710193634,0.0,15.423105478286743,0.8563251495361328,0.0,18.1431884765625
XZ_honeycomb_obc_J=1_dt=0.1_n_trotter_steps=6_Lx=4_Ly=7,0.60143884179173,0.26588434077113193,57.8040087223053,42.363978147506714,0.0,15.440030574798584,0.7429282665252686,0.0,0.109527587890625
XZ_square_PBC_J=1_dt=0.3_n_trotter_steps=16_Lx=8_Ly=7,,,,,,,,,
XZ_square_obc_J=1_dt=0.1_n_trotter_steps=10_Lx=8_Ly=7,0.6710079846543098,0.4838341482845232,128.0426332950592,113.72925019264221,0.0,14.313383102416992,0.7973923683166504,0.0,3.08770751953125
XZ_square_obc_J=1_dt=0.5_n_trotter_steps=14_Lx=8_Ly=7,,,,,,,,,
XZ_square_obc_J=1_dt=0.5_n_trotter_steps=20_Lx=8_Ly=7,,,,,,,,,
circ_128_mean_dict,,,,,,,,,
circ_16_mean_dict,,,,,,,,,
circ_32_mean_dict,,,,,,,,,
circ_64_mean_dict,,,,,,,,,
circ_8_mean_dict,,,,,,,,,
diamond_balanced,,,,,,,,,
diamond_colour,,,,,,,,,
diamond_high_distance,,,,,,,,,
diamond_high_rate,,,,,,,,,
diamond_steane,0.9886567122593487,0.9589309862399292,18.523542165756226,10.383718729019165,0.0,8.13982343673706,0.42191362380981445,0.0,0.1031494140625
linear_balanced,,,,,,,,,
linear_colour,1.0000000000000022,0.999999999999889,817.1041407585144,789.7259125709534,0.0,27.378228187561035,1.2997593879699707,0.0,53.3326416015625
linear_high_distance,,,,,,,,,
linear_high_rate,,,,,,,,,
linear_steane,1.0000000000000009,0.9999999999999913,19.348460912704468,9.409282207489014,0.0,9.939178705215454,0.566091775894165,0.0,0.0748291015625
mvsp_cauchy2d_chebyshev_d10_n10,,,,,,,,,
mvsp_cauchy2d_chebyshev_d10_n25,,,,,,,,,
mvsp_cauchy2d_chebyshev_d10_n40,,,,,,,,,
mvsp_cauchy2d_chebyshev_d5_n10,0.700829435180341,0.686424528729683,1962.3632979393005,1949.8145678043365,0.0,12.54873013496399,0.4548799991607666,0.0,5.3651123046875
mvsp_cauchy2d_chebyshev_d5_n25,,,,,,,,,
mvsp_cauchy2d_chebyshev_d5_n40,,,,,,,,,
mvsp_cauchy2d_fourier_d10_n10,0.6419661391014065,0.6703032680733263,71.15586400032043,59.66547727584839,0.0,11.490386724472046,0.38802504539489746,0.0,0.029266357421875
mvsp_cauchy2d_fourier_d10_n25,0.6399560973396105,0.6713728031313348,135.13192296028137,111.83090496063232,0.0,23.301017999649048,0.7593257427215576,0.0,0.037261962890625
mvsp_cauchy2d_fourier_d10_n40,0.641424877268206,0.6803949485094086,219.38853192329407,184.25273728370667,0.0,35.1357946395874,1.136535406112671,0.0,0.048828125
mvsp_cauchy2d_fourier_d5_n10,0.7249101176967877,0.714890497298396,39.12290549278259,28.568716764450073,0.0,10.55418872833252,0.37145328521728516,0.0,0.030517578125
